Group5_CG51,Group5_CG52,Group1_CG52
440.692260633,440.692260633,439.84764948149996
440.7954578247454,440.83995494533326,439.84764948149996
440.8135627491765,440.8230019943335,440.6895681427059
440.8164808133919,440.8243896256664,440.732959754588
440.79200884773206,440.692260633,440.7643130862353
440.80249036518626,440.72982303297255,440.76125542920556
440.83469626814053,440.7745612447532,440.69326914908856
440.7889532872646,440.7697735999451,440.73200220782354
440.8383824092192,440.7749754214312,440.72969007020595
440.85261110067324,440.7629068050207,440.7425276221768
440.84060293612725,440.7833786242127,440.7153430640591
440.8278809503429,440.7621932216987,439.84764948149996
440.85958028105904,440.75894765439045,440.8082637579283
440.8470928182743,440.692260633,440.76526301842864
440.8608908612284,,440.7686943969999
440.692260633,,440.73406445621447
,,440.75086049792867
,,440.73141735064274
,,440.74542956521424
,,440.7841032901431
,,440.79524308421446
,,440.76841760657123
,,439.74223101242853
,,439.84764948149996
