CP3,Northing,Easting,Elevation
dem0832,4483160.401,343949.224,2060.995
dem0833,4483160.387,343948.447,2061.076
dem0834,4483160.171,343947.806,2061.226
dem0835,4483160.239,343946.985,2061.353
dem0836,4483160.561,343946.333,2061.346
dem0837,4483160.897,343945.818,2061.437
dem0838,4483161.566,343945.704,2061.488
dem0839,4483162.062,343946.16,2061.277
dem0840,4483162.486,343946.567,2061.11
dem0841,4483162.917,343947.089,2060.929
dem0842,4483163.321,343947.537,2060.855
dem0843,4483163.834,343947.822,2060.735
dem0844,4483164.427,343948.075,2060.657
dem0845,4483164.885,343948.449,2060.433
dem0846,4483165.317,343948.925,2060.277
dem0847,4483165.834,343949.131,2060.171
dem0848,4483166.491,343949.297,2059.935
dem0849,4483167.207,343949.585,2059.603
dem0850,4483168.056,343949.777,2059.617
dem0851,4483168.631,343950.165,2059.394
dem0852,4483169.01,343950.603,2059.166
dem0853,4483169.636,343951.838,2059.176
dem0854,4483170.206,343952.391,2059.092
dem0855,4483170.171,343953.067,2059.118
dem0856,4483170.04,343954.059,2059.132
dem0857,4483169.814,343954.961,2059.22
dem0858,4483169.433,343955.677,2059.504
dem0859,4483169.706,343956.229,2059.687
dem0860,4483169.883,343956.72,2059.969
dem0861,4483170.041,343957.344,2060.243
dem0862,4483170.459,343957.499,2060.304
dem0863,4483170.932,343957.765,2060.244
dem0864,4483171.188,343957.398,2059.954
dem0865,4483171.301,343957.094,2059.875
dem0866,4483171.549,343956.429,2059.414
dem0867,4483171.863,343955.338,2059.06
dem0868,4483172.111,343954.399,2059.148
dem0869,4483172.115,343953.719,2059.044
dem0870,4483172.426,343953.241,2059
dem0871,4483172.815,343953.982,2059.087
dem0872,4483172.819,343954.783,2059.125
dem0873,4483172.601,343955.994,2059.128
dem0874,4483172.79,343956.517,2059.198
dem0875,4483173.207,343956.572,2059.052
dem0876,4483173.859,343955.823,2059.006
dem0877,4483174.28,343954.999,2058.926
dem0878,4483175.031,343955,2058.938
dem0879,4483175.44,343955.752,2058.937
dem0880,4483175.447,343956.732,2058.829
dem0881,4483175.101,343957.963,2058.924
dem0882,4483174.969,343958.488,2059.115
dem0883,4483175.506,343958.516,2058.884
dem0884,4483176.458,343957.551,2058.703
dem0885,4483177.085,343956.457,2058.801
dem0886,4483177.591,343955.784,2058.866
dem0887,4483178.22,343956.325,2058.751
dem0888,4483177.935,343957.425,2058.649
dem0889,4483177.432,343958.558,2058.638
dem0890,4483176.979,343959.84,2058.746
dem0891,4483176.938,343960.418,2059.027
dem0892,4483177.068,343960.651,2058.859
dem0893,4483177.89,343960.145,2058.52
dem0894,4483178.737,343959.267,2058.463
dem0895,4483179.487,343958.277,2058.638
dem0896,4483179.954,343957.339,2058.697
dem0897,4483180.243,343956.652,2058.594
dem0898,4483180.856,343956.316,2058.377
dem0899,4483181.254,343957.004,2058.342
dem0900,4483180.969,343957.967,2058.454
dem0901,4483180.52,343959.079,2058.488
dem0902,4483180.109,343960.064,2058.427
dem0903,4483179.499,343961.233,2058.412
dem0904,4483178.912,343962.331,2058.461
dem0905,4483178.675,343962.933,2058.514
dem0906,4483179.598,343963.087,2058.317
dem0907,4483180.667,343962.351,2058.24
dem0908,4483181.553,343961.315,2058.22
dem0909,4483182.286,343960.322,2058.211
dem0910,4483182.975,343959.323,2058.169
dem0911,4483183.738,343958.117,2058.023
dem0912,4483184.35,343957.212,2057.928
dem0913,4483184.992,343956.052,2057.834
dem0914,4483185.737,343954.761,2057.834
dem0915,4483186.367,343953.683,2057.838
dem0916,4483187.005,343952.486,2057.815
dem0917,4483187.832,343951.701,2057.891
dem0918,4483188.532,343952.075,2057.758
dem0919,4483188.54,343953.282,2057.816
dem0920,4483188.067,343954.581,2057.812
dem0921,4483187.494,343955.869,2057.808
dem0922,4483186.9,343957.078,2057.78
dem0923,4483186.228,343958.382,2057.746
dem0924,4483185.668,343959.614,2057.534
dem0925,4483184.928,343960.971,2057.455
dem0926,4483184.269,343962.244,2057.443
dem0927,4483183.655,343963.551,2057.424
dem0928,4483182.978,343964.866,2057.465
dem0929,4483182.187,343965.933,2057.442
dem0930,4483181.357,343966.954,2057.453
dem0931,4483180.483,343967.947,2057.433
dem0932,4483179.775,343968.911,2057.292
dem0933,4483179.554,343969.839,2057.086
dem0934,4483180.372,343970.018,2056.941
dem0935,4483181.244,343969.366,2057.067
dem0936,4483181.974,343968.386,2057.14
dem0937,4483182.802,343967.372,2057.17
dem0938,4483183.596,343966.37,2057.064
dem0939,4483184.493,343965.384,2057.05
dem0940,4483185.257,343964.311,2057.091
dem0941,4483185.48,343963.194,2057.209
dem0942,4483185.747,343961.968,2057.287
dem0943,4483186.256,343960.917,2057.344
dem0944,4483186.908,343959.948,2057.505
dem0945,4483187.993,343958.846,2057.472
dem0946,4483188.814,343957.883,2057.637
dem0947,4483189.427,343956.84,2057.76
dem0948,4483190.143,343955.728,2057.851
dem0949,4483190.776,343954.667,2057.685
dem0950,4483191.525,343953.552,2057.631
dem0951,4483192.29,343952.62,2057.658
dem0952,4483193.087,343952.375,2057.59
dem0953,4483193.314,343953.36,2057.53
dem0954,4483192.932,343954.582,2057.521
dem0955,4483192.423,343955.747,2057.515
dem0956,4483191.962,343956.875,2057.45
dem0957,4483191.397,343957.993,2057.266
dem0958,4483190.942,343958.878,2057.087
dem0959,4483191.224,343959.428,2056.937
dem0960,4483192.085,343959.168,2056.927
dem0961,4483192.858,343958.433,2057.099
dem0962,4483193.596,343957.56,2057.134
dem0963,4483194.314,343956.673,2057.19
dem0964,4483194.952,343955.616,2057.276
dem0965,4483195.389,343954.643,2057.269
dem0966,4483195.964,343953.657,2057.3
dem0967,4483196.56,343952.697,2057.28
dem0968,4483196.885,343952.162,2057.322
dem0969,4483197.296,343952.568,2057.24
dem0970,4483197.302,343953.429,2057.189
dem0971,4483197.12,343954.478,2057.088
dem0972,4483196.743,343955.536,2057.162
dem0973,4483196.252,343956.569,2057.109
dem0974,4483195.811,343957.481,2056.976
dem0975,4483195.338,343958.467,2056.934
dem0976,4483194.972,343959.382,2056.848
dem0977,4483194.623,343960.243,2056.652
dem0978,4483194.727,343960.652,2056.518
dem0979,4483195.664,343960.429,2056.634
dem0980,4483196.412,343959.621,2056.723
dem0981,4483196.973,343958.612,2056.751
dem0982,4483197.44,343957.659,2056.777
dem0983,4483197.98,343956.971,2056.874
dem0984,4483198.064,343957.62,2056.817
dem0985,4483197.542,343958.551,2056.772
dem0986,4483196.896,343959.382,2056.769
dem0987,4483196.341,343960.075,2056.695
dem0988,4483196.498,343960.557,2056.59
dem0989,4483197.079,343961.081,2056.509
dem0990,4483197.759,343961.704,2056.586
dem0991,4483198.259,343962.364,2056.642
dem0992,4483199.082,343962.114,2056.771
dem0993,4483199.804,343961.401,2056.789
dem0994,4483200.523,343960.565,2056.883
dem0995,4483201.326,343960.029,2056.85
dem0996,4483202.294,343959.202,2056.865
dem0997,4483203.184,343958.353,2056.942
dem0998,4483203.988,343957.507,2057.044
dem0999,4483205.09,343956.902,2057.162
dem1000,4483206.225,343956.725,2057.145
dem1001,4483207.33,343956.911,2057.228
dem1002,4483208.233,343957.592,2057.164
dem1003,4483209.114,343958.465,2057.146
dem1004,4483209.993,343959.34,2057.248
dem1005,4483210.881,343960.159,2057.275
dem1006,4483211.304,343960.921,2057.174
dem1007,4483210.9,343961.326,2057.108
dem1008,4483209.774,343961.045,2057.045
dem1009,4483208.711,343960.462,2056.95
dem1010,4483207.653,343959.698,2056.878
dem1011,4483206.617,343958.877,2056.918
dem1012,4483205.535,343958.118,2056.965
dem1013,4483204.527,343957.362,2057.025
dem1014,4483203.637,343956.671,2057.377
dem1015,4483202.995,343956.901,2057.291
dem1016,4483202.889,343957.591,2057.115
dem1017,4483203.553,343958.485,2056.907
dem1018,4483204.609,343959.293,2056.844
dem1019,4483205.579,343960.233,2056.754
dem1020,4483206.59,343961.135,2056.719
dem1021,4483207.641,343962.051,2056.719
dem1022,4483208.662,343962.894,2056.78
dem1023,4483209.619,343963.661,2056.826
dem1024,4483210.449,343964.298,2056.694
dem1025,4483210.92,343964.957,2056.674
dem1026,4483210.097,343965.717,2056.574
dem1027,4483208.945,343965.711,2056.531
dem1028,4483207.797,343965.141,2056.427
dem1029,4483206.656,343964.466,2056.428
dem1030,4483205.387,343963.774,2056.4
dem1031,4483204.116,343963.204,2056.47
dem1032,4483202.811,343962.646,2056.429
dem1033,4483201.495,343962.012,2056.471
dem1034,4483200.62,343961.623,2056.71
dem1035,4483199.821,343961.757,2056.741
dem1036,4483199.449,343962.529,2056.577
dem1037,4483200.099,343963.627,2056.367
dem1038,4483201.075,343964.641,2056.277
dem1039,4483202.116,343965.649,2056.194
dem1040,4483203.158,343966.535,2056.04
dem1041,4483204.226,343967.414,2055.989
dem1042,4483205.306,343968.344,2056.026
dem1043,4483206.32,343969.225,2055.926
dem1044,4483207.264,343970.131,2055.786
dem1045,4483208.067,343970.978,2055.537
dem1046,4483208.163,343972.073,2055.29
dem1047,4483208.25,343973.367,2055.071
dem1048,4483208.462,343974.816,2055.059
dem1049,4483208.851,343976.138,2054.984
dem1050,4483209.165,343977.56,2054.901
dem1051,4483209.434,343978.849,2054.827
dem1052,4483209.672,343979.995,2054.666
dem1053,4483209.615,343981.039,2054.719
dem1054,4483208.7,343981.223,2054.798
dem1055,4483207.932,343980.494,2054.849
