CP3,Northing,Easting,Elevation
dem0001,4483187.976,344004.59,2053.549
dem0002,4483187.818,344004.518,2053.584
dem0003,4483187.332,344004.213,2053.565
dem0004,4483186.775,344003.86,2053.627
dem0005,4483186.005,344003.577,2053.593
dem0006,4483185.079,344003.129,2053.61
dem0007,4483184.189,344002.592,2053.611
dem0008,4483183.213,344002.166,2053.66
dem0009,4483182.138,344001.716,2053.654
dem0010,4483181.185,344001.383,2053.607
dem0011,4483180.163,344000.926,2053.535
dem0012,4483179.129,344000.342,2053.487
dem0013,4483178.062,343999.885,2053.567
dem0014,4483176.976,343999.427,2053.679
dem0015,4483175.986,343999.063,2053.717
dem0016,4483174.993,343998.624,2053.93
dem0017,4483174.026,343998.082,2054.04
dem0018,4483173.079,343997.539,2054.165
dem0019,4483172.036,343997.081,2054.348
dem0020,4483170.932,343996.606,2054.448
dem0021,4483170.058,343996.178,2054.488
dem0022,4483168.929,343995.757,2054.466
dem0023,4483167.878,343995.387,2054.428
dem0024,4483166.779,343994.907,2054.351
dem0025,4483165.608,343994.376,2054.228
dem0026,4483164.362,343993.774,2054.107
dem0027,4483163.282,343993.248,2053.973
dem0028,4483162.011,343992.749,2053.961
dem0029,4483160.807,343992.201,2054.009
dem0030,4483159.598,343991.637,2054.024
dem0031,4483158.377,343991.059,2054.063
dem0032,4483157.156,343990.482,2054.009
dem0033,4483155.999,343989.938,2054.054
dem0034,4483154.829,343989.413,2054.071
dem0035,4483153.618,343988.923,2053.996
dem0036,4483152.562,343988.461,2053.98
dem0037,4483151.416,343987.9,2054.013
dem0038,4483150.325,343987.344,2053.966
dem0039,4483149.169,343986.777,2053.944
dem0040,4483148.081,343986.2,2054.01
dem0041,4483146.859,343985.662,2054.137
dem0042,4483145.826,343985.335,2054.366
dem0043,4483145.131,343985.058,2054.618
dem0044,4483144.526,343984.738,2054.886
dem0045,4483141.136,343982.968,2055.504
dem0046,4483141.162,343981.922,2055.628
dem0047,4483142.093,343981.508,2055.77
dem0048,4483143.146,343981.558,2055.708
dem0049,4483144.185,343981.898,2055.603
dem0050,4483145.271,343982.235,2055.319
dem0051,4483146.321,343982.52,2055.005
dem0052,4483147.453,343982.897,2054.613
dem0053,4483148.702,343983.347,2054.591
dem0054,4483150.034,343983.873,2054.621
dem0055,4483151.359,343984.335,2054.539
dem0056,4483152.62,343984.871,2054.534
dem0057,4483153.795,343985.443,2054.542
dem0058,4483155.143,343986.011,2054.563
dem0059,4483156.33,343986.423,2054.556
dem0060,4483157.665,343986.839,2054.525
dem0061,4483158.862,343987.414,2054.654
dem0062,4483160.174,343987.899,2054.581
dem0063,4483161.416,343988.492,2054.555
dem0064,4483162.676,343989.046,2054.607
dem0065,4483163.951,343989.609,2054.481
dem0066,4483165.239,343990.194,2054.441
dem0067,4483166.387,343990.698,2054.617
dem0068,4483167.446,343991.252,2054.819
dem0069,4483168.576,343991.821,2054.902
dem0070,4483169.637,343992.428,2054.732
dem0071,4483170.942,343993.136,2054.707
dem0072,4483172.143,343993.829,2054.637
dem0073,4483173.361,343994.543,2054.481
dem0074,4483174.469,343995.26,2054.321
dem0075,4483175.663,343996.029,2054.276
dem0076,4483176.819,343996.75,2054.144
dem0077,4483178.017,343997.43,2054.07
dem0078,4483179.213,343998.101,2053.856
dem0079,4483180.509,343998.927,2053.81
dem0080,4483181.62,343999.58,2053.966
dem0081,4483182.844,344000.239,2053.963
dem0082,4483183.981,344000.964,2053.906
dem0083,4483185.18,344001.675,2053.805
dem0084,4483186.287,344002.299,2053.813
dem0085,4483187.417,344002.856,2053.811
dem0086,4483188.261,344002.953,2053.826
dem0087,4483188.788,344002.324,2053.941
dem0088,4483188.256,344001.56,2054.091
dem0089,4483187.26,344000.891,2054.114
dem0090,4483186.102,344000.321,2054.097
dem0091,4483184.96,343999.762,2054.176
dem0092,4483183.702,343999.142,2054.224
dem0093,4483182.433,343998.483,2054.194
dem0094,4483181.232,343997.867,2054.015
dem0095,4483179.893,343997.152,2054.117
dem0096,4483178.729,343996.523,2054.253
dem0097,4483177.522,343995.895,2054.294
dem0098,4483176.217,343995.303,2054.358
dem0099,4483174.894,343994.65,2054.41
dem0100,4483173.57,343994.099,2054.496
dem0101,4483172.366,343993.525,2054.603
dem0102,4483171.09,343992.943,2054.74
dem0103,4483169.82,343992.362,2054.798
dem0104,4483168.702,343991.779,2054.846
dem0105,4483167.594,343991.167,2054.766
dem0106,4483166.418,343990.614,2054.727
dem0107,4483165.211,343989.979,2054.59
dem0108,4483163.98,343989.381,2054.59
dem0109,4483162.778,343988.899,2054.624
dem0110,4483161.579,343988.4,2054.616
dem0111,4483160.349,343987.896,2054.628
dem0112,4483159.17,343987.278,2054.604
dem0113,4483158.02,343986.7,2054.577
dem0114,4483156.831,343986.133,2054.62
dem0115,4483155.58,343985.654,2054.662
dem0116,4483154.328,343985.045,2054.612
dem0117,4483153.072,343984.534,2054.613
dem0118,4483151.91,343983.964,2054.612
dem0119,4483150.64,343983.372,2054.774
dem0120,4483149.47,343982.841,2054.756
dem0121,4483148.172,343982.259,2054.798
dem0122,4483147.137,343981.626,2055.034
dem0123,4483146.231,343981.177,2055.353
dem0124,4483145.185,343980.722,2055.655
dem0125,4483144.223,343980.364,2055.792
dem0126,4483143.281,343979.949,2055.866
dem0127,4483142.958,343979.054,2056.029
dem0128,4483143.589,343978.449,2056.146
dem0129,4483144.582,343978.542,2056.066
dem0130,4483145.678,343978.943,2055.879
dem0131,4483147.072,343979.395,2055.633
dem0132,4483148.272,343979.769,2055.34
dem0133,4483149.758,343980.195,2055.238
dem0134,4483151.076,343980.618,2055.23
dem0135,4483152.333,343981.118,2055.235
dem0136,4483153.767,343981.64,2055.2
dem0137,4483155.147,343982.166,2055.186
dem0138,4483156.459,343982.64,2055.176
dem0139,4483157.719,343983.186,2055.123
dem0140,4483159.013,343983.705,2055.196
dem0141,4483160.317,343984.297,2055.14
dem0142,4483161.616,343984.861,2055.096
dem0143,4483162.908,343985.414,2055.114
dem0144,4483164.136,343985.935,2055.168
dem0145,4483165.424,343986.45,2055.176
dem0146,4483166.686,343986.969,2055.228
dem0147,4483167.871,343987.623,2055.228
dem0148,4483169.028,343988.212,2055.294
dem0149,4483170.143,343988.756,2055.301
dem0150,4483171.298,343989.238,2055.13
dem0151,4483172.495,343989.728,2054.984
dem0152,4483173.758,343990.273,2054.818
dem0153,4483174.911,343990.822,2054.757
dem0154,4483176.121,343991.327,2054.752
dem0155,4483177.313,343991.906,2054.683
dem0156,4483178.524,343992.538,2054.67
dem0157,4483179.801,343993.066,2054.51
dem0158,4483181.155,343993.692,2054.481
dem0159,4483182.488,343994.368,2054.562
dem0160,4483183.726,343995.043,2054.628
dem0161,4483184.913,343995.657,2054.68
dem0162,4483186.038,343996.238,2054.666
dem0163,4483187.19,343996.647,2054.585
dem0164,4483188.3,343997.167,2054.531
dem0165,4483189.33,343997.641,2054.528
dem0166,4483190.346,343998.275,2054.48
dem0167,4483191.209,343998.841,2054.44
dem0168,4483191.939,343999.08,2054.489
dem0169,4483192.253,343998.389,2054.526
dem0170,4483191.665,343997.73,2054.519
dem0171,4483190.81,343997.169,2054.589
dem0172,4483189.813,343996.536,2054.657
dem0173,4483188.831,343995.764,2054.678
dem0174,4483187.908,343995.056,2054.76
dem0175,4483186.869,343994.387,2054.823
dem0176,4483185.701,343993.732,2054.854
dem0177,4483184.534,343993.037,2054.78
dem0178,4483183.295,343992.34,2054.716
dem0179,4483182.135,343991.79,2054.661
dem0180,4483180.881,343991.225,2054.717
dem0181,4483179.587,343990.658,2054.727
dem0182,4483178.342,343990.071,2054.845
dem0183,4483177.132,343989.542,2054.983
dem0184,4483175.929,343988.98,2055.016
dem0185,4483174.767,343988.478,2055.108
dem0186,4483173.661,343988.06,2055.268
dem0187,4483172.522,343987.561,2055.481
dem0188,4483171.513,343987.1,2055.6
dem0189,4483170.606,343986.726,2055.599
dem0190,4483169.557,343986.265,2055.683
dem0191,4483168.454,343985.754,2055.679
dem0192,4483167.407,343985.3,2055.586
dem0193,4483166.261,343984.752,2055.488
dem0194,4483165.135,343984.207,2055.52
dem0195,4483164.034,343983.588,2055.48
dem0196,4483162.891,343983.07,2055.461
dem0197,4483161.732,343982.693,2055.475
dem0198,4483160.451,343982.343,2055.484
dem0199,4483159.323,343981.795,2055.517
dem0200,4483158.242,343981.302,2055.564
dem0201,4483157.124,343980.867,2055.557
dem0202,4483155.974,343980.495,2055.54
dem0203,4483154.795,343980.131,2055.472
dem0204,4483153.682,343979.748,2055.565
dem0205,4483152.482,343979.209,2055.599
dem0206,4483151.387,343978.657,2055.623
dem0207,4483150.238,343978.106,2055.764
dem0208,4483149.14,343977.577,2055.888
dem0209,4483148.24,343977.24,2056.02
dem0210,4483147.357,343976.868,2056.275
dem0211,4483146.751,343976.402,2056.408
dem0212,4483146.367,343975.926,2056.548
dem0213,4483146.639,343975.244,2056.64
dem0214,4483147.418,343975.051,2056.633
dem0215,4483148.182,343975.187,2056.488
dem0216,4483149.149,343975.453,2056.439
dem0217,4483150.239,343975.769,2056.335
dem0218,4483151.346,343976.034,2056.216
dem0219,4483152.485,343976.148,2056.172
dem0220,4483153.623,343976.424,2056.129
dem0221,4483154.682,343976.818,2056.1
dem0222,4483155.795,343977.256,2056.054
dem0223,4483156.874,343977.595,2056.076
dem0224,4483158.024,343977.963,2056.049
dem0225,4483159.067,343978.261,2056.068
dem0226,4483160.248,343978.696,2056.059
dem0227,4483161.37,343979.357,2055.973
dem0228,4483162.469,343980.141,2055.921
dem0229,4483163.673,343980.77,2055.949
dem0230,4483164.805,343981.33,2055.952
dem0231,4483166,343981.851,2055.908
dem0232,4483167.149,343982.391,2055.977
dem0233,4483168.308,343982.818,2056.073
dem0234,4483169.403,343983.313,2056.079
dem0235,4483170.515,343983.854,2056.008
dem0236,4483171.76,343984.419,2055.958
dem0237,4483173.026,343984.995,2055.738
dem0238,4483174.152,343985.574,2055.564
dem0239,4483175.3,343986.143,2055.455
dem0240,4483176.427,343986.742,2055.35
dem0241,4483177.567,343987.315,2055.216
dem0242,4483178.827,343987.923,2055.012
dem0243,4483180.053,343988.564,2054.899
dem0244,4483181.223,343989.197,2054.774
dem0245,4483182.411,343989.87,2054.792
dem0246,4483183.594,343990.603,2054.803
dem0247,4483184.74,343991.356,2054.866
dem0248,4483185.899,343992.088,2054.868
dem0249,4483187.097,343992.785,2054.827
dem0250,4483188.182,343993.453,2054.836
dem0251,4483189.184,343994.042,2054.722
dem0252,4483190.131,343994.535,2054.705
dem0253,4483191.188,343995.188,2054.631
dem0254,4483192.166,343995.856,2054.594
dem0255,4483193.141,343996.402,2054.566
dem0256,4483193.883,343996.995,2054.452
dem0257,4483194.517,343996.785,2054.375
dem0258,4483194.92,343996.153,2054.399
dem0259,4483194.5,343995.485,2054.536
dem0260,4483193.747,343994.853,2054.607
dem0261,4483192.842,343994.172,2054.632
dem0262,4483191.863,343993.49,2054.694
dem0263,4483190.77,343992.892,2054.809
dem0264,4483189.608,343992.318,2054.874
dem0265,4483188.454,343991.757,2054.894
dem0266,4483187.305,343991.224,2054.929
dem0267,4483186.148,343990.629,2054.907
dem0268,4483185.007,343989.98,2054.87
dem0269,4483183.894,343989.288,2054.869
dem0270,4483182.721,343988.659,2054.899
dem0271,4483181.368,343988.066,2054.933
dem0272,4483180.12,343987.53,2054.962
dem0273,4483179,343986.958,2055.12
dem0274,4483177.926,343986.399,2055.337
dem0275,4483176.694,343985.808,2055.444
dem0276,4483175.698,343985.175,2055.623
dem0277,4483174.622,343984.483,2055.763
dem0278,4483173.443,343983.869,2055.95
dem0279,4483172.294,343983.326,2056.025
dem0280,4483171.162,343982.782,2056.076
dem0281,4483170.017,343982.227,2056.296
dem0282,4483168.846,343981.566,2056.279
dem0283,4483167.795,343980.85,2056.221
dem0284,4483166.611,343980.193,2056.289
dem0285,4483165.344,343979.663,2056.312
dem0286,4483164.278,343979.175,2056.276
dem0287,4483163.079,343978.578,2056.299
dem0288,4483161.783,343977.927,2056.332
dem0289,4483160.588,343977.228,2056.38
dem0290,4483159.402,343976.615,2056.429
dem0291,4483158.131,343976.029,2056.515
dem0292,4483156.937,343975.431,2056.555
dem0293,4483155.901,343974.871,2056.589
dem0294,4483154.718,343974.288,2056.559
dem0295,4483153.535,343973.702,2056.662
dem0296,4483152.429,343973.101,2056.861
dem0297,4483151.494,343972.509,2057.007
dem0298,4483150.569,343971.918,2057.176
dem0299,4483149.703,343971.238,2057.35
dem0300,4483149.376,343970.39,2057.429
dem0301,4483149.753,343969.519,2057.637
dem0302,4483150.624,343968.926,2057.717
dem0303,4483151.601,343968.981,2057.592
dem0304,4483152.769,343969.361,2057.584
dem0305,4483153.758,343969.482,2057.62
dem0306,4483154.773,343969.583,2057.672
dem0307,4483155.885,343969.952,2057.631
dem0308,4483157.034,343970.498,2057.533
dem0309,4483158.257,343970.922,2057.523
dem0310,4483159.33,343971.331,2057.573
dem0311,4483160.484,343971.644,2057.641
dem0312,4483161.562,343971.903,2057.645
dem0313,4483162.618,343972.339,2057.614
dem0314,4483163.825,343972.832,2057.519
dem0315,4483164.963,343973.461,2057.478
dem0316,4483166.002,343973.903,2057.479
dem0317,4483166.928,343974.3,2057.398
dem0318,4483167.98,343974.847,2057.196
dem0319,4483169.19,343975.567,2057.051
dem0320,4483170.256,343976.404,2056.892
dem0321,4483171.519,343977.255,2056.707
dem0322,4483172.756,343978.001,2056.561
dem0323,4483173.977,343978.86,2056.404
dem0324,4483175.105,343979.677,2056.246
dem0325,4483176.232,343980.503,2056.198
dem0326,4483177.366,343981.35,2056.086
dem0327,4483178.566,343982.154,2055.943
dem0328,4483179.725,343983.019,2055.671
dem0329,4483180.956,343983.83,2055.373
dem0330,4483182.137,343984.762,2055.22
dem0331,4483183.326,343985.668,2055.091
dem0332,4483184.5,343986.467,2054.998
dem0333,4483185.732,343987.256,2054.893
dem0334,4483186.88,343987.994,2054.901
dem0335,4483188.041,343988.718,2054.899
dem0336,4483189.189,343989.405,2054.902
dem0337,4483190.373,343990.103,2054.892
dem0338,4483191.53,343990.798,2054.83
dem0339,4483192.666,343991.547,2054.726
dem0340,4483193.76,343992.214,2054.677
dem0341,4483194.708,343992.929,2054.607
dem0342,4483195.429,343993.462,2054.436
dem0343,4483196.385,343993.806,2054.342
dem0344,4483197.079,343993.772,2054.373
dem0345,4483197.535,343993.116,2054.345
dem0346,4483197.041,343992.361,2054.406
dem0347,4483196.276,343991.837,2054.634
dem0348,4483195.395,343991.258,2054.701
dem0349,4483194.372,343990.559,2054.722
dem0350,4483193.295,343989.84,2054.756
dem0351,4483192.2,343989.186,2054.802
dem0352,4483191.047,343988.512,2054.876
dem0353,4483189.886,343987.814,2054.943
dem0354,4483188.736,343987.123,2054.948
dem0355,4483187.534,343986.333,2054.923
dem0356,4483186.42,343985.638,2054.978
dem0357,4483185.334,343984.898,2055.11
dem0358,4483184.172,343984.074,2055.218
dem0359,4483183.155,343983.401,2055.286
dem0360,4483182.189,343982.881,2055.444
dem0361,4483181.249,343982.299,2055.719
dem0362,4483180.391,343981.576,2055.856
dem0363,4483179.556,343981.01,2056.009
dem0364,4483178.593,343980.318,2056.152
dem0365,4483177.517,343979.584,2056.247
dem0366,4483176.438,343978.861,2056.273
dem0367,4483175.405,343978.136,2056.421
dem0368,4483174.3,343977.472,2056.554
dem0369,4483173.185,343976.669,2056.726
dem0370,4483172.24,343975.93,2056.877
dem0371,4483171.368,343975.373,2057.06
dem0372,4483170.28,343974.774,2057.17
dem0373,4483169.468,343974.416,2057.332
dem0374,4483168.589,343973.801,2057.592
dem0375,4483167.788,343973.184,2057.742
dem0376,4483167.086,343972.622,2057.931
dem0377,4483166.08,343971.823,2057.905
dem0378,4483165.14,343971.182,2058.024
dem0379,4483164.166,343970.554,2058.172
dem0380,4483163.284,343969.73,2058.382
dem0381,4483162.467,343969.088,2058.561
dem0382,4483161.4,343968.434,2058.667
dem0383,4483160.375,343967.862,2058.769
dem0384,4483159.41,343967.444,2058.773
dem0385,4483158.395,343966.85,2058.879
dem0386,4483157.459,343966.135,2059.008
dem0387,4483156.849,343965.657,2059.275
dem0388,4483156.145,343965.317,2059.273
dem0389,4483155.407,343964.971,2059.117
dem0390,4483154.642,343964.389,2058.823
dem0391,4483153.614,343963.818,2058.832
dem0392,4483152.661,343963.092,2058.886
dem0393,4483152.081,343962.583,2059.012
dem0394,4483152.427,343961.721,2059.187
dem0395,4483153.081,343961.078,2059.379
dem0396,4483153.636,343960.739,2059.519
dem0397,4483154.553,343960.64,2059.56
dem0398,4483155.629,343960.982,2059.639
dem0399,4483156.658,343961.617,2059.65
dem0400,4483157.515,343962.203,2059.826
dem0401,4483158.421,343962.772,2059.974
dem0402,4483159.23,343963.155,2059.948
dem0403,4483160.301,343963.903,2059.856
dem0404,4483161.213,343964.621,2059.762
dem0405,4483161.946,343965.395,2059.681
dem0406,4483162.917,343966.145,2059.462
dem0407,4483163.805,343966.817,2059.283
dem0408,4483164.704,343967.508,2059.118
dem0409,4483165.595,343968.201,2058.999
dem0410,4483166.388,343968.899,2058.854
dem0411,4483167.373,343969.62,2058.676
dem0412,4483168.264,343970.348,2058.488
dem0413,4483169.015,343971.078,2058.491
dem0414,4483169.508,343971.571,2058.372
dem0415,4483170.169,343972.022,2058.131
dem0416,4483170.801,343972.44,2057.94
dem0417,4483171.373,343972.755,2057.756
dem0418,4483171.902,343973.21,2057.442
dem0419,4483172.627,343973.793,2057.192
dem0420,4483173.319,343974.396,2056.906
dem0421,4483174.148,343975.168,2056.808
dem0422,4483175.029,343975.915,2056.69
dem0423,4483176.002,343976.722,2056.522
dem0424,4483176.945,343977.495,2056.396
dem0425,4483177.908,343978.25,2056.257
dem0426,4483178.902,343978.999,2056.188
dem0427,4483179.922,343979.718,2056.123
dem0428,4483180.913,343980.452,2055.975
dem0429,4483181.76,343981.172,2055.742
dem0430,4483182.672,343981.875,2055.536
dem0431,4483183.754,343982.597,2055.399
dem0432,4483184.852,343983.425,2055.268
dem0433,4483185.99,343984.247,2055.105
dem0434,4483187.123,343985.045,2054.969
dem0435,4483188.192,343985.865,2054.928
dem0436,4483189.244,343986.596,2054.95
dem0437,4483190.315,343987.385,2054.9
dem0438,4483191.354,343988.211,2054.804
dem0439,4483192.335,343989.011,2054.773
dem0440,4483193.288,343989.831,2054.779
dem0441,4483194.29,343990.704,2054.718
dem0442,4483195.11,343991.459,2054.699
dem0443,4483195.917,343991.309,2054.634
dem0444,4483196.541,343990.557,2054.669
dem0445,4483196.235,343989.73,2054.715
dem0446,4483195.418,343988.887,2054.728
dem0447,4483194.457,343988.141,2054.747
dem0448,4483193.494,343987.424,2054.843
dem0449,4483192.465,343986.725,2054.874
dem0450,4483191.534,343985.981,2054.96
dem0451,4483190.523,343985.265,2054.918
dem0452,4483189.52,343984.538,2054.961
dem0453,4483188.56,343983.754,2055.074
dem0454,4483187.573,343982.971,2055.181
dem0455,4483186.572,343982.173,2055.256
dem0456,4483185.63,343981.371,2055.361
dem0457,4483184.803,343980.671,2055.551
dem0458,4483183.871,343980.206,2055.734
dem0459,4483183.091,343979.696,2055.863
dem0460,4483182.175,343979.094,2056.059
dem0461,4483181.156,343978.381,2056.185
dem0462,4483180.067,343977.654,2056.275
dem0463,4483178.97,343976.886,2056.377
dem0464,4483177.982,343976.099,2056.508
dem0465,4483177.084,343975.312,2056.627
dem0466,4483176.097,343974.591,2056.806
dem0467,4483175.095,343973.99,2056.991
dem0468,4483174.139,343973.307,2057.155
dem0469,4483173.434,343972.866,2057.366
dem0470,4483172.75,343972.419,2057.559
dem0471,4483172.35,343971.845,2057.898
dem0472,4483171.807,343971.414,2058.216
dem0473,4483171.148,343971.086,2058.404
dem0474,4483170.414,343970.524,2058.715
dem0475,4483169.773,343969.969,2058.869
dem0476,4483168.858,343969.38,2059.014
dem0477,4483167.768,343968.648,2059.083
dem0478,4483166.777,343967.989,2059.177
dem0479,4483165.851,343967.405,2059.274
dem0480,4483164.827,343966.85,2059.406
dem0481,4483163.747,343966.291,2059.556
dem0482,4483162.664,343965.667,2059.624
dem0483,4483161.686,343965.125,2059.728
dem0484,4483160.646,343964.543,2059.776
dem0485,4483159.564,343964.043,2059.806
dem0486,4483158.544,343963.566,2059.863
dem0487,4483157.589,343963.144,2059.85
dem0488,4483156.519,343962.607,2059.617
dem0489,4483155.453,343961.919,2059.486
dem0490,4483154.404,343961.12,2059.5
dem0491,4483153.439,343960.454,2059.611
dem0492,4483152.765,343959.78,2059.6
dem0493,4483152.639,343959.184,2059.739
dem0494,4483153.27,343958.664,2059.31
dem0495,4483153.066,343958.646,2059.758
dem0496,4483152.411,343958.219,2059.818
dem0497,4483151.43,343957.767,2059.82
dem0498,4483150.603,343957.541,2059.856
dem0499,4483150.121,343957.67,2059.755
dem0500,4483150.247,343958.152,2059.68
dem0501,4483151.11,343958.036,2059.816
dem0502,4483151.643,343958.214,2059.785
dem0503,4483151.665,343959.011,2059.714
dem0504,4483151.65,343959.677,2059.589
dem0505,4483152.404,343959.963,2059.482
dem0506,4483153.37,343959.887,2059.633
dem0507,4483154.525,343959.919,2059.647
dem0508,4483155.683,343960.094,2059.649
dem0509,4483157.027,343960.177,2059.707
dem0510,4483158.21,343960.073,2059.719
dem0511,4483159.239,343960.217,2059.948
dem0512,4483160.109,343960.939,2060.011
dem0513,4483161.017,343961.551,2060.089
dem0514,4483162.028,343962.303,2060.022
dem0515,4483162.956,343962.986,2059.957
dem0516,4483164.004,343963.576,2059.963
dem0517,4483164.96,343964.101,2059.951
dem0518,4483165.812,343964.625,2059.903
dem0519,4483166.733,343965.268,2059.869
dem0520,4483167.592,343965.848,2059.766
dem0521,4483168.465,343966.418,2059.621
dem0522,4483169.319,343966.95,2059.399
dem0523,4483170.245,343967.52,2059.384
dem0524,4483171.05,343968.082,2059.3
dem0525,4483171.857,343968.716,2059.02
dem0526,4483172.587,343969.424,2058.625
dem0527,4483173.226,343970.058,2058.344
dem0528,4483173.872,343970.774,2057.916
dem0529,4483174.683,343971.439,2057.554
dem0530,4483175.462,343972.113,2057.358
dem0531,4483176.261,343972.724,2057.115
dem0532,4483177.091,343973.46,2056.866
dem0533,4483178.001,343974.214,2056.669
dem0534,4483178.962,343974.914,2056.483
dem0535,4483179.937,343975.675,2056.392
dem0536,4483181.015,343976.437,2056.303
dem0537,4483182.092,343977.244,2056.199
dem0538,4483183.212,343977.987,2056.035
dem0539,4483184.265,343978.704,2055.838
dem0540,4483185.305,343979.458,2055.566
dem0541,4483186.37,343980.267,2055.328
dem0542,4483187.491,343981.047,2055.252
dem0543,4483188.405,343981.851,2055.251
dem0544,4483189.211,343982.701,2055.125
dem0545,4483190.151,343983.573,2055.105
dem0546,4483191.096,343984.409,2054.996
dem0547,4483192.111,343985.201,2054.928
dem0548,4483193.019,343986.024,2054.864
dem0549,4483193.974,343986.773,2054.867
dem0550,4483194.891,343987.572,2054.818
dem0551,4483195.799,343988.31,2054.73
dem0552,4483196.63,343989.076,2054.685
dem0553,4483197.425,343989.879,2054.7
dem0554,4483198.288,343990.642,2054.544
dem0555,4483199.082,343991.228,2054.432
dem0556,4483199.713,343990.796,2054.381
dem0557,4483199.842,343990.041,2054.436
dem0558,4483199.403,343989.416,2054.587
dem0559,4483198.591,343988.736,2054.656
dem0560,4483197.702,343987.957,2054.759
dem0561,4483196.788,343987.204,2054.764
dem0562,4483195.911,343986.43,2054.847
dem0563,4483195.029,343985.697,2054.923
dem0564,4483194.086,343984.916,2054.948
dem0565,4483193.172,343984.051,2055.059
dem0566,4483192.265,343983.161,2055.111
dem0567,4483191.348,343982.22,2055.117
dem0568,4483190.48,343981.302,2055.181
dem0569,4483189.546,343980.376,2055.29
dem0570,4483188.709,343979.466,2055.434
dem0571,4483187.895,343978.603,2055.521
dem0572,4483186.991,343977.807,2055.644
dem0573,4483186.177,343977.062,2055.839
dem0574,4483185.346,343976.309,2056.011
dem0575,4483184.415,343975.611,2056.163
dem0576,4483183.415,343974.928,2056.25
dem0577,4483182.452,343974.255,2056.304
dem0578,4483181.569,343973.572,2056.482
dem0579,4483180.561,343972.821,2056.641
dem0580,4483179.542,343972.083,2056.814
dem0581,4483178.609,343971.304,2056.977
dem0582,4483177.799,343970.64,2057.245
dem0583,4483177.084,343970.055,2057.535
dem0584,4483176.364,343969.445,2057.743
dem0585,4483175.651,343968.896,2058.067
dem0586,4483174.87,343968.365,2058.254
dem0587,4483174.193,343967.888,2058.461
dem0588,4483173.516,343967.349,2058.659
dem0589,4483172.896,343966.805,2058.953
dem0590,4483172.273,343966.376,2059.181
dem0591,4483171.592,343965.744,2059.376
dem0592,4483170.871,343965.193,2059.562
dem0593,4483170.152,343964.679,2059.799
dem0594,4483169.246,343964.178,2059.985
dem0595,4483168.066,343963.678,2060.077
dem0596,4483166.918,343963.166,2060.071
dem0597,4483165.633,343962.615,2060.044
dem0598,4483164.459,343962.109,2060.048
dem0599,4483163.142,343961.623,2060.084
dem0600,4483161.913,343961.102,2060.06
dem0601,4483160.672,343960.646,2060.013
dem0602,4483159.417,343960.276,2059.941
dem0603,4483158.257,343959.756,2059.836
dem0604,4483157.73,343958.884,2059.752
dem0605,4483157.967,343957.97,2059.684
dem0606,4483158.939,343957.559,2059.728
dem0607,4483160.013,343957.696,2059.899
dem0608,4483161.161,343958.141,2060.026
dem0609,4483162.286,343958.681,2060.116
dem0610,4483163.384,343959.324,2060.069
dem0611,4483164.55,343959.953,2060.105
dem0612,4483165.707,343960.623,2060.164
dem0613,4483166.777,343961.221,2060.141
dem0614,4483167.748,343961.771,2060.146
dem0615,4483168.722,343962.303,2060.117
dem0616,4483169.548,343962.944,2059.996
dem0617,4483170.403,343963.635,2059.87
dem0618,4483171.092,343964.202,2059.705
dem0619,4483171.73,343964.668,2059.592
dem0620,4483172.543,343964.84,2059.344
dem0621,4483173.505,343965.179,2059.122
dem0622,4483174.34,343965.679,2058.894
dem0623,4483175.07,343966.153,2058.628
dem0624,4483175.848,343966.636,2058.363
dem0625,4483176.703,343967.216,2058.095
dem0626,4483177.757,343967.897,2057.799
dem0627,4483178.704,343968.63,2057.467
dem0628,4483179.704,343969.421,2057.151
dem0629,4483180.794,343970.259,2056.904
dem0630,4483181.957,343971.087,2056.75
dem0631,4483183.196,343971.947,2056.591
dem0632,4483184.397,343972.799,2056.396
dem0633,4483185.642,343973.627,2056.213
dem0634,4483186.768,343974.423,2056.057
dem0635,4483187.878,343975.203,2055.849
dem0636,4483189.112,343976.026,2055.663
dem0637,4483190.372,343976.884,2055.496
dem0638,4483191.587,343977.744,2055.391
dem0639,4483192.759,343978.676,2055.311
dem0640,4483193.934,343979.622,2055.266
dem0641,4483195.091,343980.537,2055.173
dem0642,4483196.198,343981.478,2055.12
dem0643,4483197.35,343982.39,2055.104
dem0644,4483198.453,343983.333,2055.058
dem0645,4483199.558,343984.269,2054.974
dem0646,4483200.488,343985.202,2054.852
dem0647,4483201.438,343986.144,2054.645
dem0648,4483202.099,343987.007,2054.624
dem0649,4483202.791,343987.443,2054.553
dem0650,4483203.491,343986.876,2054.471
dem0651,4483203.491,343985.888,2054.638
dem0652,4483202.991,343985.033,2054.863
dem0653,4483202.173,343984.177,2054.975
dem0654,4483201.269,343983.279,2055.04
dem0655,4483200.426,343982.448,2055.103
dem0656,4483199.368,343981.595,2055.183
dem0657,4483198.27,343980.829,2055.198
dem0658,4483197.181,343980.031,2055.205
dem0659,4483196.142,343979.231,2055.32
dem0660,4483195.066,343978.375,2055.374
dem0661,4483194.03,343977.55,2055.367
dem0662,4483192.907,343976.75,2055.428
dem0663,4483191.844,343975.961,2055.577
dem0664,4483190.708,343975.15,2055.685
dem0665,4483189.594,343974.515,2055.766
dem0666,4483188.601,343973.804,2055.926
