X,Y,Depth
343953.5552,4483171.4164,3.1446
343953.5552,4483171.2164,3.1972
343953.5552,4483171.0164,3.2313
343953.5552,4483170.8164,3.2744
343953.5552,4483170.6164,3.2982
343953.5552,4483170.4164,3.3017
343953.7552,4483175.4164,1.9902
343953.7552,4483175.2164,2.0137
343953.7552,4483175.0164,2.0341
343953.7552,4483174.8164,2.0673
343953.7552,4483174.6164,2.1149
343953.7552,4483174.4164,2.1697
343953.7552,4483174.2164,2.2315
343953.7552,4483174.0164,2.2889
343953.7552,4483173.8164,2.3682
343953.7552,4483173.6164,2.4047
343953.7552,4483173.4164,2.451
343953.7552,4483173.2164,2.5035
343953.7552,4483173.0164,2.5379
343953.7552,4483172.8164,2.6493
343953.7552,4483172.6164,2.7298
343953.7552,4483172.4164,2.8936
343953.7552,4483172.2164,2.9421
343953.7552,4483172.0164,3.0156
343953.7552,4483171.8164,3.0747
343953.7552,4483171.6164,3.1185
343953.7552,4483171.4164,3.1629
343953.7552,4483171.2164,3.2132
343953.7552,4483171.0164,3.2446
343953.7552,4483170.8164,3.286
343953.7552,4483170.6164,3.311
343953.7552,4483170.4164,3.3177
343953.7552,4483170.2164,3.331
343953.9552,4483175.6164,1.9499
343953.9552,4483175.4164,1.9657
343953.9552,4483175.2164,1.9855
343953.9552,4483175.0164,2.004
343953.9552,4483174.8164,2.0355
343953.9552,4483174.6164,2.0784
343953.9552,4483174.4164,2.128
343953.9552,4483174.2164,2.2071
343953.9552,4483174.0164,2.264
343953.9552,4483173.8164,2.3463
343953.9552,4483173.6164,2.3863
343953.9552,4483173.4164,2.4319
343953.9552,4483173.2164,2.4777
343953.9552,4483173.0164,2.5454
343953.9552,4483172.8164,2.6422
343953.9552,4483172.6164,2.7207
343953.9552,4483172.4164,2.8326
343953.9552,4483172.2164,2.94
343953.9552,4483172.0164,3.0015
343953.9552,4483171.8164,3.0733
343953.9552,4483171.6164,3.1171
343953.9552,4483171.4164,3.1579
343953.9552,4483171.2164,3.2132
343953.9552,4483171.0164,3.2446
343953.9552,4483170.8164,3.2822
343953.9552,4483170.6164,3.3138
343953.9552,4483170.4164,3.3255
343953.9552,4483170.2164,3.3394
343954.1552,4483175.8164,1.9374
343954.1552,4483175.6164,1.9165
343954.1552,4483175.4164,1.9271
343954.1552,4483175.2164,1.9429
343954.1552,4483175.0164,1.9589
343954.1552,4483174.8164,1.9919
343954.1552,4483174.6164,2.0455
343954.1552,4483174.4164,2.0988
343954.1552,4483174.2164,2.1681
343954.1552,4483174.0164,2.2131
343954.1552,4483173.8164,2.2913
343954.1552,4483173.6164,2.3219
343954.1552,4483173.4164,2.3796
343954.1552,4483173.2164,2.4554
343954.1552,4483173.0164,2.5248
343954.1552,4483172.8164,2.5922
343954.1552,4483172.6164,2.6927
343954.1552,4483172.4164,2.8346
343954.1552,4483172.2164,2.9029
343954.1552,4483172.0164,2.9937
343954.1552,4483171.8164,3.0588
343954.1552,4483171.6164,3.1044
343954.1552,4483171.4164,3.1724
343954.1552,4483171.2164,3.2242
343954.1552,4483171.0164,3.2514
343954.1552,4483170.8164,3.2841
343954.1552,4483170.6164,3.3069
343954.1552,4483170.4164,3.3213
343954.1552,4483170.2164,3.3414
343954.1552,4483170.0164,3.2684
343954.3552,4483176.0164,1.9396
343954.3552,4483175.8164,1.9283
343954.3552,4483175.6164,1.9017
343954.3552,4483175.4164,1.9082
343954.3552,4483175.2164,1.9194
343954.3552,4483175.0164,1.9372
343954.3552,4483174.8164,1.9737
343954.3552,4483174.6164,2.0276
343954.3552,4483174.4164,2.0678
343954.3552,4483174.2164,2.109
343954.3552,4483174.0164,2.155
343954.3552,4483173.8164,2.2344
343954.3552,4483173.6164,2.2652
343954.3552,4483173.4164,2.3209
343954.3552,4483173.2164,2.3771
343954.3552,4483173.0164,2.4793
343954.3552,4483172.8164,2.5141
343954.3552,4483172.6164,2.5753
343954.3552,4483172.4164,2.7715
343954.3552,4483172.2164,2.8243
343954.3552,4483172.0164,2.9037
343954.3552,4483171.8164,3.0126
343954.3552,4483171.6164,3.0824
343954.3552,4483171.4164,3.1189
343954.3552,4483171.2164,3.16
343954.3552,4483171.0164,3.1887
343954.3552,4483170.8164,3.2059
343954.3552,4483170.6164,3.2196
343954.3552,4483170.4164,3.2301
343954.3552,4483170.2164,3.2513
343954.3552,4483170.0164,3.2421
343954.3552,4483169.8164,3.1726
343954.5552,4483176.2164,1.9289
343954.5552,4483176.0164,1.9158
343954.5552,4483175.8164,1.8979
343954.5552,4483175.6164,1.8691
343954.5552,4483175.4164,1.8772
343954.5552,4483175.2164,1.9116
343954.5552,4483175.0164,1.9475
343954.5552,4483174.8164,1.9594
343954.5552,4483174.6164,1.986
343954.5552,4483174.4164,2.0069
343954.5552,4483174.2164,2.0468
343954.5552,4483174.0164,2.0934
343954.5552,4483173.8164,2.1994
343954.5552,4483173.6164,2.2267
343954.5552,4483173.4164,2.2948
343954.5552,4483173.2164,2.3361
343954.5552,4483173.0164,2.4543
343954.5552,4483172.8164,2.5046
343954.5552,4483172.6164,2.5683
343954.5552,4483172.4164,2.6748
343954.5552,4483172.2164,2.7832
343954.5552,4483172.0164,2.8437
343954.5552,4483171.8164,2.9681
343954.5552,4483171.6164,3.0315
343954.5552,4483171.4164,3.0688
343954.5552,4483171.2164,3.1229
343954.5552,4483171.0164,3.1362
343954.5552,4483170.8164,3.155
343954.5552,4483170.6164,3.159
343954.5552,4483170.4164,3.1598
343954.5552,4483170.2164,3.1716
343954.5552,4483170.0164,3.1573
343954.5552,4483169.8164,3.1333
343954.5552,4483169.6164,3.0714
343954.7552,4483176.4164,1.9209
343954.7552,4483176.2164,1.9124
343954.7552,4483176.0164,1.9113
343954.7552,4483175.8164,1.8891
343954.7552,4483175.6164,1.896
343954.7552,4483175.4164,1.8994
343954.7552,4483175.2164,1.9181
343954.7552,4483175.0164,1.9444
343954.7552,4483174.8164,1.9257
343954.7552,4483174.6164,1.9516
343954.7552,4483174.4164,1.9757
343954.7552,4483174.2164,2.0096
343954.7552,4483174.0164,2.0536
343954.7552,4483173.8164,2.1793
343954.7552,4483173.6164,2.2063
343954.7552,4483173.4164,2.2927
343954.7552,4483173.2164,2.3352
343954.7552,4483173.0164,2.3636
343954.7552,4483172.8164,2.4859
343954.7552,4483172.6164,2.5745
343954.7552,4483172.4164,2.6524
343954.7552,4483172.2164,2.7127
343954.7552,4483172.0164,2.8222
343954.7552,4483171.8164,2.9015
343954.7552,4483171.6164,2.9707
343954.7552,4483171.4164,3.0418
343954.7552,4483171.2164,3.0931
343954.7552,4483171.0164,3.1133
343954.7552,4483170.8164,3.1213
343954.7552,4483170.6164,3.1253
343954.7552,4483170.4164,3.1211
343954.7552,4483170.2164,3.1311
343954.7552,4483170.0164,3.1035
343954.7552,4483169.8164,3.0788
343954.7552,4483169.6164,3.0309
343954.7552,4483169.4164,2.9938
343954.9552,4483176.6164,1.9053
343954.9552,4483176.4164,1.9121
343954.9552,4483176.2164,1.9192
343954.9552,4483176.0164,1.9129
343954.9552,4483175.8164,1.8918
343954.9552,4483175.6164,1.8876
343954.9552,4483175.4164,1.8919
343954.9552,4483175.2164,1.9108
343954.9552,4483175.0164,1.9164
343954.9552,4483174.8164,1.9214
343954.9552,4483174.6164,1.939
343954.9552,4483174.4164,1.9644
343954.9552,4483174.2164,1.9845
343954.9552,4483174.0164,2.0295
343954.9552,4483173.8164,2.1517
343954.9552,4483173.6164,2.1751
343954.9552,4483173.4164,2.2843
343954.9552,4483173.2164,2.311
343954.9552,4483173.0164,2.3793
343954.9552,4483172.8164,2.437
343954.9552,4483172.6164,2.5518
343954.9552,4483172.4164,2.61
343954.9552,4483172.2164,2.6508
343954.9552,4483172.0164,2.69
343954.9552,4483171.8164,2.83
343954.9552,4483171.6164,2.8657
343954.9552,4483171.4164,2.9235
343954.9552,4483171.2164,3.0134
343954.9552,4483171.0164,3.026
343954.9552,4483170.8164,3.0468
343954.9552,4483170.6164,3.036
343954.9552,4483170.4164,3.0367
343954.9552,4483170.2164,3.033
343954.9552,4483170.0164,3.0092
343954.9552,4483169.8164,2.9708
343954.9552,4483169.6164,2.9263
